wave(air/A)  wave(vac/A)  f1     f2
  7808.501    7810.650    9-4    P2f(2.5)
  7821.426    7823.578    9-4    P1e(3.5)
  7821.580    7823.732    9-4    P1f(3.5)
  7841.254    7843.412    9-4    P2e(3.5)
  7841.278    7843.436    9-4    P2f(3.5)
  7849.120    7851.280    5-1    R1f(5.5)
  7849.173    7851.333    5-1    R1e(5.5)
  7849.689    7851.849    5-1    R1f(4.5)
  7849.761    7851.921    5-1    R1e(4.5)
  7850.479    7852.639    5-1    R2e(4.5)
  7850.573    7852.733    5-1    R2f(4.5)
  7852.268    7854.428    5-1    R2e(3.5)
  7852.349    7854.510    5-1    R2f(3.5)
  7853.232    7855.393    9-4    P1e(4.5)
  7853.488    7855.649    9-4    P1f(4.5)
  7853.565    7855.726    5-1    R1f(3.5)
  7853.644    7855.805    5-1    R1e(3.5)
  7857.967    7860.129    5-1    R2e(2.5)
  7858.021    7860.183    5-1    R2f(2.5)
  7860.623    7862.786    5-1    R1f(2.5)
  7860.693    7862.856    5-1    R1e(2.5)
  7867.723    7869.888    5-1    R2e(1.5)
  7867.737    7869.902    5-1    R2f(1.5)
  7870.706    7872.871    5-1    R1f(1.5)
  7870.755    7872.920    5-1    R1e(1.5)
  7878.762    7880.930    9-4    P2f(4.5)
  7878.803    7880.971    9-4    P2e(4.5)
  7881.666    7883.834    5-1    R2f(0.5)
  7881.699    7883.867    5-1    R2e(0.5)
  7889.664    7891.835    9-4    P1e(5.5)
  7889.664    7891.835    9-4    P1e(5.5)
  7890.038    7892.209    9-4    P1f(5.5)
  7890.038    7892.209    9-4    P1f(5.5)
  7912.167    7914.344    5-1    Q2f(0.5)
  7912.336    7914.513    5-1    Q2e(0.5)
  7913.681    7915.858    5-1    Q1f(1.5)
  7913.735    7915.912    5-1    Q1e(1.5)
  7918.207    7920.385    5-1    Q2f(1.5)
  7918.491    7920.669    5-1    Q2e(1.5)
  7920.982    7923.161    9-4    P2f(5.5)
  7921.020    7923.199    5-1    Q1f(2.5)
  7921.106    7923.285    9-4    P2e(5.5)
  7921.219    7923.398    5-1    Q1e(2.5)
  7930.868    7933.050    9-4    P1e(6.5)
  7931.379    7933.561    9-4    P1f(6.5)
  7931.542    7933.724    5-1    Q1f(3.5)
  7931.994    7934.176    5-1    Q1e(3.5)
  7945.385    7947.571    5-1    Q1f(4.5)
  7946.198    7948.384    5-1    Q1e(4.5)
  7949.163    7951.350    5-1    P2e(1.5)
  7949.245    7951.432    5-1    P2f(1.5)
  7964.603    7966.794    5-1    P1e(2.5)
  7964.698    7966.889    5-1    P1f(2.5)
  7968.024    7970.216    9-4    P2f(6.5)
  7968.249    7970.441    9-4    P2e(6.5)
  7976.986    7979.180    9-4    P1e(7.5)
  7977.650    7979.844    9-4    P1f(7.5)
  7979.749    7981.944    5-1    P2e(2.5)
  7979.788    7981.983    5-1    P2f(2.5)
  7993.241    7995.440    5-1    P1e(3.5)
  7993.424    7995.623    5-1    P1f(3.5)
  8014.046    8016.250    5-1    P2f(3.5)
  8014.072    8016.276    5-1    P2e(3.5)
  8020.024    8022.230    9-4    P2f(7.5)
  8020.361    8022.567    9-4    P2e(7.5)
  8025.668    8027.875    5-1    P1e(4.5)
  8025.952    8028.159    5-1    P1f(4.5)
  8028.169    8030.377    9-4    P1e(8.5)
  8029.001    8031.209    9-4    P1f(8.5)
  8051.966    8054.180    5-1    P2f(4.5)
  8052.074    8054.288    5-1    P2e(4.5)
  8061.979    8064.196    5-1    P1e(5.5)
  8062.377    8064.594    5-1    P1f(5.5)
  8077.147    8079.368    9-4    P2f(8.5)
  8077.613    8079.834    9-4    P2e(8.5)
  8084.582    8086.805    9-4    P1e(9.5)
  8085.600    8087.824    9-4    P1f(9.5)
