lambda_air(A),lambda_vac(A),FWHM(A),Flux(10^-16^erg/s/cm2/{AA})
4043.3801,4044.522,0.1296,0.2742
4044.0322,4045.175,0.0787,0.1841
4044.376,4045.519,0.0703,0.2556
4044.7043,4045.847,0.1143,0.2747
4045.373,4046.516,0.0945,0.2709
4047.3276,4048.471,0.0891,0.3715
4047.6616,4048.805,0.0935,0.2784
4047.9858,4049.129,0.1557,0.3334
4050.3809,4051.525,0.116,0.3056
4050.5469,4051.691,0.3654,0.2497
4050.877,4052.021,0.1058,0.2748
4051.2253,4052.37,0.0879,0.3204
4054.3818,4055.527,0.092,0.2609
4054.4983,4055.644,0.0893,0.2683
4054.7114,4055.857,0.091,0.1756
4055.0901,4056.235,0.1135,0.2446
4057.7039,4058.85,0.105,0.1986
4058.8882,4060.035,0.4466,0.1975
4058.991,4060.137,0.0748,0.2097
4059.5938,4060.74,0.1367,0.2489
4060.8228,4061.97,0.0473,0.243
4061.4753,4062.622,0.091,0.2928
4061.8254,4062.973,0.0775,0.1886
4061.9619,4063.109,0.0962,0.3056
4062.6602,4063.808,0.1956,0.1822
4062.8931,4064.041,0.0969,0.2222
