lambda_air(A)  lambda_vac(A)  FWHM(A)  Flux(10^-16^erg/s/cm2/{AA})
  9704.6406    9707.3020  0.3427    0.2914
  9704.9541    9707.6160  0.3971    0.2844
  9711.7148    9714.3780  0.2386    9.0829
  9719.8389    9722.5050  0.2703   26.9594
  9721.9375    9724.6040  0.2242    0.5077
  9723.7432    9726.4100  0.2334    0.4039
  9725.4912    9728.1580  0.3743    0.1832
  9726.7520    9729.4200  0.2289    0.6183
  9728.0400    9730.7080  0.2400    0.2625
  9728.4697    9731.1380  0.3929    0.2101
  9729.4502    9732.1180  0.2296    0.4744
  9732.8271    9735.4960  0.3320    0.4234
  9734.8066    9737.4760  0.2331    2.0113
  9735.2891    9737.9590  0.2441    1.7961
  9738.0957    9740.7660  0.2485    9.6260
  9745.2354    9747.9080  0.2305    3.0432
  9746.3027    9748.9760  0.2368    2.8749
  9755.9961    9758.6720  0.5389    0.1989
  9784.4668    9787.1500  0.5186    0.2648
  9788.3828    9791.0670  0.3639    0.1727
  9789.2988    9791.9830  0.2966    4.2775
  9789.5098    9792.1940  0.3384    4.0981
  9791.1162    9793.8010  0.2841   60.5073
  9796.2998    9798.9860  0.2580    1.1542
  9796.7705    9799.4570  0.2557    1.1322
  9799.5508    9802.2380  0.3739    8.8878
  9799.8271    9802.5140  0.2831   12.5226
  9803.9209    9806.6090  0.5347    0.1554
  9804.4258    9807.1140  0.2022    0.2063
  9807.1826    9809.8720  0.2420    1.4456
  9807.8516    9810.5410  0.2773    1.4967
  9808.4600    9811.1500  0.2878    0.4667
  9811.5947    9814.2850  0.2442    3.8266
  9812.3740    9815.0650  0.2452    3.7321
  9816.6211    9819.3130  0.2424    2.0914
  9817.9180    9820.6100  0.2575    2.4962
  9820.4375    9823.1300  0.2548    0.2227
  9821.6475    9824.3410  0.1088    0.2360
  9825.9844    9828.6790  0.2672    0.2239
  9827.5332    9830.2280  0.2450    0.9904
  9828.4316    9831.1270  0.2130    0.4108
  9828.9170    9831.6120  0.2429    1.0730
  9830.4971    9833.1930  0.2400    0.3473
  9832.9258    9835.6220  0.2295    0.4879
  9835.9629    9838.6600  0.2643    0.3869
  9847.4541    9850.1540  0.2605    0.2904
  9848.4941    9851.1950  0.2917   16.2151
  9849.6016    9852.3020  0.2520    0.4278
  9867.9150    9870.6210  0.3009    0.1547
  9872.1475    9874.8540  0.3173   50.2618
  9883.4160    9886.1260  0.2454    0.4758
  9885.7578    9888.4680  0.2322    1.2060
  9886.5820    9889.2930  0.2304    1.0407
  9894.3701    9897.0830  0.3090    2.0793
  9894.7510    9897.4640  0.2501   20.6942
